rowid,poi_name,geography,latitude,longitude,geocoded_name,display_name,place_type,category,parking_facility_name,parking_confidence,parking_source,address,osm_id,error
41,Dinah's Garden Hotel,South_Bay,37.4078546,-122.1200448,Dinah’s Poolside Restaurant,"Dinah’s Poolside Restaurant, 4261, El Camino Real, Ventura, Palo Alto, Santa Clara County, California, 94306, United States",restaurant,,Dinah's Garden Hotel Parking,assumed,business_type,"4261, El Camino Real, Ventura, Palo Alto, California, 94306",8232754968,
42,The Sports Page,South_Bay,37.4161338,-122.0786134,,"Plymouth Street, Google, Mountain View, Santa Clara County, California, 94043, United States",bicycle_parking,,Parking Facility,medium,osm_category,"Plymouth Street, Mountain View, California, 94043",4427018844,
43,Hampton Inn & Suites Mountain View,South_Bay,37.39879,-122.0757463,Hampton Inn & Suites,"Hampton Inn & Suites, 390, Moffett Boulevard, Mountain View, Santa Clara County, California, 94043, United States",hotel,,Hampton Inn & Suites Mountain View Parking,assumed,business_type,"390, Moffett Boulevard, Mountain View, California, 94043",205845506,
44,Homewood Suites by Hilton Palo Alto,South_Bay,37.4055416,-122.1187693,Homewood Suites by Hilton Palo Alto,"Homewood Suites by Hilton Palo Alto, 4329, West El Camino Real, Palo Alto, Santa Clara County, California, 94306, United States",hotel,,Homewood Suites by Hilton Palo Alto Parking,assumed,business_type,"4329, West El Camino Real, Palo Alto, California, 94306",353332922,
45,Park James Hotel,South_Bay,37.4563001,-122.1875609,Park James,"Park James, 1400, El Camino Real, Menlo Park, San Mateo County, California, 94025, United States",hotel,,Park James Hotel Parking,assumed,business_type,"1400, El Camino Real, California, 94025",756420363,
46,Taverna,South_Bay,37.4420856,-122.1589496,The Annex at St. Michael's Alley,"The Annex at St. Michael's Alley, 806, Emerson Street, University South, Palo Alto, Santa Clara County, California, 94301, United States",restaurant,,,none,,"806, Emerson Street, University South, Palo Alto, California, 94301",132296666,
47,The Domain Hotel,South_Bay,37.3528355,-122.0019956,The Domain Hotel,"The Domain Hotel, 1085, East El Camino Real, Sunnyvale, Santa Clara County, California, 94087, United States",hotel,,The Domain Hotel Parking,assumed,business_type,"1085, East El Camino Real, Sunnyvale, California, 94087",37892693,
48,Computer History Museum,South_Bay,37.4143142,-122.0772893,Computer History Museum,"Computer History Museum, 1401, North Shoreline Boulevard, Mountain View, Santa Clara County, California, 94043, United States",museum,,,none,,"1401, North Shoreline Boulevard, Mountain View, California, 94043",31012132,
49,The Nest,South_Bay,37.4173181,-122.128951,The Nest,"The Nest, 3901, El Camino Real, Ventura, Palo Alto, Santa Clara County, California, 94306, United States",hotel,,The Nest Parking,assumed,business_type,"3901, El Camino Real, Ventura, Palo Alto, California, 94306",232153375,
50,Eureka! Mountain View,South_Bay,37.3938462,-122.0786498,Eureka!,"Eureka!, 191, Castro Street, Mountain View, Santa Clara County, California, 94041, United States",restaurant,,,none,,"191, Castro Street, Mountain View, California, 94041",343268782,
51,Nobu,South_Bay,37.4436837,-122.1614574,Epiphany Hotel,"Epiphany Hotel, 180, Hamilton Avenue, University South, Palo Alto, Santa Clara County, California, 94301, United States",hotel,,Nobu Parking,assumed,business_type,"180, Hamilton Avenue, University South, Palo Alto, California, 94301",132397111,
52,Telefèric Barcelona,South_Bay,37.4384918,-122.158629,CVS Pharmacy,"CVS Pharmacy, Embarcadero Road, Southgate, Palo Alto, Santa Clara County, California, 94301, United States",pharmacy,,,none,,"Embarcadero Road, Southgate, Palo Alto, California, 94301",287483356,
53,Pure Nightclub,South_Bay,37.376696,-122.0298268,Pure Nightclub,"Pure Nightclub, 146, South Murphy Avenue, Sunnyvale, Santa Clara County, California, 94086, United States",nightclub,,,none,,"146, South Murphy Avenue, Sunnyvale, California, 94086",30908080,
54,El Prado Hotel,South_Bay,37.447734,-122.1590537,Garden Court Hotel,"Garden Court Hotel, 520, Cowper Street, University South, Palo Alto, Santa Clara County, California, 94301, United States",hotel,,El Prado Hotel Parking,assumed,business_type,"520, Cowper Street, University South, Palo Alto, California, 94301",5958398,
55,Caltrain-Mountain View,South_Bay,37.3939981,-122.0760867,Mountain View,"Mountain View, Bush Street, Mountain View, Santa Clara County, California, 94041, United States",parking,,Mountain View,medium,osm_category,"Bush Street, Mountain View, California, 94041",25795737,
